event_id,event_name,event_status,prize_pool,event_dates,event_country,event_image_url
883,Champions Tour Vietnam Stage 1: Challengers,completed,28236.0,Feb 9 27,vn,https://owcdn.net/img/6009f963577f4.png
823,Champions Tour Indonesia Stage 1: Challengers,completed,25000.0,Jan 19 Feb 27,id,https://owcdn.net/img/6009f963577f4.png
851,Champions Tour Japan Stage 1: Challengers Week 1,completed,0.0,Feb 14 27,jp,https://owcdn.net/img/6009f963577f4.png
858,Champions Tour Malaysia & Singapore Stage 1: Challengers,completed,23823.0,Jan 28 Feb 27,my,https://owcdn.net/img/6009f963577f4.png
879,Champions Tour Hong Kong & Taiwan Stage 1: Challengers,completed,25000.0,Jan 21 Feb 26,tw,https://owcdn.net/img/6009f963577f4.png
830,Oceania Tour: Stage 1,completed,18126.0,Jan 12 Feb 20,au,https://owcdn.net/img/61dd0b7c24e22.png
795,Champions Tour Europe Stage 1: Challengers 2,completed,,Jan 17 23,eu,https://owcdn.net/img/6009f963577f4.png
796,Champions Tour CIS Stage 1: Challengers 2,completed,,Jan 17 23,ru,https://owcdn.net/img/6009f963577f4.png
797,Champions Tour Turkey Stage 1: Challengers 2,completed,,Jan 17 23,tr,https://owcdn.net/img/6009f963577f4.png
812,Road to VCT 2022,completed,3063.0,Dec 22 Jan 25,vn,https://www.vlr.gg/img/vlr/tmp/vlr.png
792,Champions Tour Europe Stage 1: Challengers 1,completed,,Jan 10 16,eu,https://owcdn.net/img/6009f963577f4.png
793,Champions Tour Turkey Stage 1: Challengers 1,completed,,Jan 10 16,tr,https://owcdn.net/img/6009f963577f4.png
794,Champions Tour CIS Stage 1: Challengers 1,completed,,Jan 10 16,ru,https://owcdn.net/img/6009f963577f4.png
449,Valorant Champions 2021,completed,1000000.0,Dec 1 12,de,https://owcdn.net/img/60865adcb127b.png
558,Champions Tour North America: Last Chance Qualifier,completed,0.0,Oct 12 31,us,https://owcdn.net/img/5f8e73ec18ba4.png
561,Champions Tour South America: Last Chance Qualifier,completed,48074.0,Oct 11 17,br,https://owcdn.net/img/5f8e73ec18ba4.png
559,Champions Tour EMEA: Last Chance Qualifier,completed,0.0,Oct 10 17,eu,https://owcdn.net/img/5f8e73ec18ba4.png
560,Champions Tour Asia-Pacific: Last Chance Qualifier,completed,0.0,Oct 11 17,un,https://owcdn.net/img/5f8e73ec18ba4.png
450,Strike Arabia Championship: Finals,completed,50000.0,Sep 22 25,tr,https://owcdn.net/img/606336083fa0f.png
466,Valorant Champions Tour Stage 3: Masters Berlin,completed,700000.0,Sep 10 19,de,https://owcdn.net/img/603bfd7bf3f54.png
649,Oceania Tour: Championship,completed,14735.0,Sep 8 12,au,https://owcdn.net/img/6017169f35876.png
664,Strike Arabia League: Season 3,completed,3000.0,Sep 1 7,un,https://owcdn.net/img/60983ff38e7c3.png
557,Valorant Conquerors Championship,completed,33000.0,Jun 30 Aug 29,un,https://owcdn.net/img/60dd768701906.png
570,Champions Tour SEA Stage 3: Challengers Playoffs,completed,100000.0,Aug 12 23,un,https://owcdn.net/img/6009f963577f4.png
536,Champions Tour Brazil Stage 3: Challengers Playoffs,completed,29574.0,Aug 12 22,br,https://owcdn.net/img/6009f963577f4.png
547,Champions Tour Stage 3: EMEA Challengers Playoffs,completed,103414.0,Aug 12 22,eu,https://owcdn.net/img/6009f963577f4.png
621,Champions Tour LATAM Stage 3: Challengers Playoffs,completed,32000.0,Aug 3 19,un,https://owcdn.net/img/6009f963577f4.png
578,Champions Tour North America Stage 3: Challengers Playoffs,completed,100000.0,Aug 11 15,us,https://owcdn.net/img/6009f963577f4.png
595,Champions Tour Korea Stage 3: Challengers,completed,86900.0,Jul 2 Aug 15,kr,https://owcdn.net/img/6009f963577f4.png
540,Champions Tour Japan Stage 3: Challengers Playoffs,completed,18152.0,Aug 11 15,jp,https://owcdn.net/img/6009f963577f4.png
535,Champions Tour Brazil Stage 3: Challengers 3,completed,9844.0,Jul 26 Aug 8,br,https://owcdn.net/img/6009f963577f4.png
625,Champions Tour Indonesia Stage 3: Challengers 3,completed,3450.0,Jul 30 Aug 8,id,https://owcdn.net/img/6009f963577f4.png
567,Champions Tour Thailand Stage 3: Challengers 3,completed,2885.0,Jul 30 Aug 8,th,https://owcdn.net/img/6009f963577f4.png
